a b c d e f g h i j k l 
18.80	3.15	3.35	4.20	1.84	2.61	0.94	0.88	3.50	17.00	59.00	0.00
15.70	3.02	3.31	3.80	1.80	2.30	0.91	0.91	4.30	16.30	48.00	0.12
13.70	2.83	3.10	3.00	1.67	2.28	0.91	0.81	2.60	15.80	59.00	0.00
12.70	2.83	3.12	2.76	1.53	2.11	0.91	0.50	2.38	16.10	59.00	0.00
21.30	3.45	3.21	2.20	1.21	1.73	1.07	0.60	3.70	20.30	72.00	0.20
16.30	2.65	3.10	2.65	1.35	1.80	0.85	0.90	4.10	17.50	56.00	0.00
20.00	3.43	3.41	3.84	1.72	2.40	1.01	0.86	3.70	19.50	62.00	0.00
10.10	2.64	2.85	2.10	1.32	2.05	0.92	0.80	2.60	18.50	53.00	0.00
18.30	3.43	3.35	3.22	1.68	2.10	1.02	0.43	3.60	16.50	64.00	0.00
14.40	3.02	3.15	3.40	1.58	2.34	0.96	0.80	3.40	17.40	53.00	0.00
13.90	2.89	3.28	2.30	1.42	2.15	0.88	0.92	2.80	17.00	63.00	0.00
24.10	3.50	3.37	2.90	1.72	2.30	1.03	0.85	4.70	18.00	68.00	0.00
15.10	3.15	3.30	2.60	1.60	2.30	0.95	0.98	4.10	14.80	55.00	0.25
16.60	3.05	3.28	2.80	1.48	2.20	0.93	0.70	2.50	19.50	68.00	0.00
21.10	3.25	3.45	3.78	1.53	2.78	0.94	0.75	4.30	18.00	62.00	0.00
21.90	3.50	3.36	3.06	1.58	2.18	1.04	0.73	3.50	15.30	70.00	0.00
16.40	3.22	3.32	2.30	1.50	1.88	0.97	0.36	1.90	16.00	74.00	0.00
10.10	2.90	2.84	2.19	1.56	2.02	1.02	0.30	1.50	16.00	64.00	0.00
12.80	2.81	2.91	3.15	1.59	2.19	0.97	0.32	1.69	16.30	62.00	0.00
17.10	3.33	3.50	3.80	1.55	2.36	0.95	0.85	4.20	18.80	53.00	0.00
16.10	3.10	3.40	2.30	1.50	2.00	0.91	0.70	3.30	20.60	65.00	0.25
18.10	3.40	3.32	3.18	1.52	2.12	1.02	0.60	3.78	18.50	60.00	0.00
20.00	3.01	3.20	3.02	1.43	1.95	0.94	0.70	2.80	18.50	71.00	0.00
22.60	3.40	3.30	2.30	1.48	1.85	1.03	0.48	3.35	19.80	75.00	0.00
20.50	3.25	3.68	3.10	1.70	2.30	0.88	1.10	3.90	16.40	52.00	0.00
17.10	3.20	3.05	0.49	0.72	1.40	1.05	0.38	1.68	21.00	87.00	0.91
